id,domain,subdomain,topic,question,retrieved_context,ground_truth_answer,model_answer,failure_type,severity,evidence_quality,explanation,source_style
1076,Business,HR,employee onboarding guidance,What is the correct answer regarding employee onboarding guidance?,The context indicates that employee onboarding guidance is linked to guideline number 12. A required step is also mentioned in the same passage. The document keeps the explanation focused on the HR use case.,"The key point is that employee onboarding guidance is linked to guideline number 12, and the passage also mentions a required step.","Since employee onboarding guidance mentions a required step, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,FAQ excerpt
1077,Environment,waste,recycling,What does the document say about recycling?,The context indicates that recycling is linked to increase number 11. A follow-up action is also mentioned in the same passage. The document keeps the explanation focused on the waste use case.,"The key point is that recycling is linked to increase number 11, and the passage also mentions a follow-up action.","The key point is that recycling is linked to increase number 11, and the passage also mentions a follow-up action.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,FAQ excerpt
1078,Education,assignment,research methods policy,Which detail is supported by the context for research methods policy?,The source says that research methods policy is linked to threshold number 16. A verification step is also mentioned in the same passage. The document keeps the explanation focused on the assignment use case.,"The key point is that research methods policy is linked to threshold number 16, and the passage also mentions a verification step.","Since research methods policy mentions a verification step, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,FAQ excerpt
1079,Sports,training,recovery guidance,Which detail is supported by the context for recovery guidance?,The source says that recovery guidance is linked to threshold number 11. A time window is also mentioned in the same passage. The document keeps the explanation focused on the training use case.,"The key point is that recovery guidance is linked to threshold number 11, and the passage also mentions a time window.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,training note
1080,Technology,software design,API rate limiting overview,Which detail is supported by the context for API rate limiting overview?,The evidence shows that API rate limiting overview is linked to recommended action number 2. A time window is also mentioned in the same passage. The document keeps the explanation focused on the software design use case.,"The key point is that API rate limiting overview is linked to recommended action number 2, and the passage also mentions a time window.",The answer concerns an unrelated topic and says that API rate limiting overview is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,training note
1081,History,event,industrial revolution policy,Which detail is supported by the context for industrial revolution policy?,The passage states that industrial revolution policy is linked to increase number 2. A exception clause is also mentioned in the same passage. The document keeps the explanation focused on the event use case.,"The key point is that industrial revolution policy is linked to increase number 2, and the passage also mentions a exception clause.","The key point is that industrial revolution policy is linked to increase number 2, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,policy memo
1082,Travel,transport,rail schedules,What is the correct answer regarding rail schedules?,The passage states that rail schedules is linked to causal factor number 12. A priority order is also mentioned in the same passage. The document keeps the explanation focused on the transport use case.,"The key point is that rail schedules is linked to causal factor number 12, and the passage also mentions a priority order.",The answer concerns an unrelated topic and says that rail schedules is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,training note
1083,Food,nutrition,protein intake overview,What is the correct answer regarding protein intake overview?,The document explains that protein intake overview is linked to warning sign number 6. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the nutrition use case.,"The key point is that protein intake overview is linked to warning sign number 6, and the passage also mentions a risk factor.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,training note
1084,Finance,credit,credit score workflow,Summarize the main fact about credit score workflow from the passage.,The context indicates that credit score workflow is linked to procedure number 11. A follow-up action is also mentioned in the same passage. The document keeps the explanation focused on the credit use case.,"The key point is that credit score workflow is linked to procedure number 11, and the passage also mentions a follow-up action.","The key point is that credit score workflow is not linked to procedure number 11; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,support ticket
1085,Business,product,feature prioritization workflow,Summarize the main fact about feature prioritization workflow from the passage.,The passage states that feature prioritization workflow is linked to recommended action number 10. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the product use case.,"The key point is that feature prioritization workflow is linked to recommended action number 10, and the passage also mentions a estimated cost.",The key point is that feature prioritization workflow is linked to recommended action number 10.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,policy memo
1086,Food,cooking,spices,Summarize the main fact about spices from the passage.,The source says that spices is linked to warning sign number 14. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the cooking use case.,"The key point is that spices is linked to warning sign number 14, and the passage also mentions a weekly review.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,support ticket
1087,Food,meal planning,portion control workflow,What is the correct answer regarding portion control workflow?,The evidence shows that portion control workflow is linked to increase number 12. A priority order is also mentioned in the same passage. The document keeps the explanation focused on the meal planning use case.,"The key point is that portion control workflow is linked to increase number 12, and the passage also mentions a priority order.",The answer concerns an unrelated topic and says that portion control workflow is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,support ticket
1088,Science,chemistry,reaction rate,What does the document say about reaction rate?,The document explains that reaction rate is linked to threshold number 1. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the chemistry use case.,"The key point is that reaction rate is linked to threshold number 1, and the passage also mentions a best practice.",The answer concerns an unrelated topic and says that reaction rate is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,FAQ excerpt
1089,Environment,air quality,particulate matter guidance,"According to the provided context, what is the key point about particulate matter guidance?",The source says that particulate matter guidance is linked to recommended action number 6. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the air quality use case.,"The key point is that particulate matter guidance is linked to recommended action number 6, and the passage also mentions a estimated cost.",The answer concerns an unrelated topic and says that particulate matter guidance is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,FAQ excerpt
1090,Healthcare,diagnosis,type 2 diabetes,Summarize the main fact about type 2 diabetes from the passage.,The source says that type 2 diabetes is linked to guideline number 15. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the diagnosis use case.,"The key point is that type 2 diabetes is linked to guideline number 15, and the passage also mentions a weekly review.",The key point is that type 2 diabetes is linked to guideline number 15.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,FAQ excerpt
1091,Legal,contract clause,termination guidance,Which detail is supported by the context for termination guidance?,The context indicates that termination guidance is linked to causal factor number 14. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the contract clause use case.,"The key point is that termination guidance is linked to causal factor number 14, and the passage also mentions a estimated cost.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,policy memo
1092,Legal,compliance,record keeping policy,Which detail is supported by the context for record keeping policy?,The source says that record keeping policy is linked to comparison number 4. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the compliance use case.,"The key point is that record keeping policy is linked to comparison number 4, and the passage also mentions a risk factor.","Since record keeping policy mentions a risk factor, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,knowledge base article
1093,Environment,climate,carbon emissions guidance,Summarize the main fact about carbon emissions guidance from the passage.,The context indicates that carbon emissions guidance is linked to threshold number 16. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the climate use case.,"The key point is that carbon emissions guidance is linked to threshold number 16, and the passage also mentions a weekly review.","Since carbon emissions guidance mentions a weekly review, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,support ticket
1094,Science,biology,photosynthesis,What does the document say about photosynthesis?,The source says that photosynthesis is linked to guideline number 17. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the biology use case.,"The key point is that photosynthesis is linked to guideline number 17, and the passage also mentions a best practice.","The key point is that photosynthesis is linked to guideline number 17, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,training note
1095,Legal,intellectual property,copyright,"According to the provided context, what is the key point about copyright?",The passage states that copyright is linked to deadline number 16. A priority order is also mentioned in the same passage. The document keeps the explanation focused on the intellectual property use case.,"The key point is that copyright is linked to deadline number 16, and the passage also mentions a priority order.","The key point is that copyright is linked to deadline number 16, and the passage also mentions a priority order.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,FAQ excerpt
1096,History,movement,civil rights benchmark,What does the document say about civil rights benchmark?,The context indicates that civil rights benchmark is linked to causal factor number 11. A priority order is also mentioned in the same passage. The document keeps the explanation focused on the movement use case.,"The key point is that civil rights benchmark is linked to causal factor number 11, and the passage also mentions a priority order.","Since civil rights benchmark mentions a priority order, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,support ticket
1097,Science,environmental science,water quality,What does the document say about water quality?,The source says that water quality is linked to decrease number 4. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the environmental science use case.,"The key point is that water quality is linked to decrease number 4, and the passage also mentions a best practice.",The answer concerns an unrelated topic and says that water quality is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,training note
1098,Sports,match analysis,possession guidance,"According to the provided context, what is the key point about possession guidance?",The source says that possession guidance is linked to increase number 12. A priority order is also mentioned in the same passage. The document keeps the explanation focused on the match analysis use case.,"The key point is that possession guidance is linked to increase number 12, and the passage also mentions a priority order.",The answer concerns an unrelated topic and says that possession guidance is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,support ticket
1099,History,conflict,world war II,What does the document say about world war II?,The evidence shows that world war II is linked to increase number 6. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the conflict use case.,"The key point is that world war II is linked to increase number 6, and the passage also mentions a best practice.",The answer concerns an unrelated topic and says that world war II is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,policy memo
1100,Healthcare,medication,asthma policy,Which detail is supported by the context for asthma policy?,The passage states that asthma policy is linked to comparison number 6. A required step is also mentioned in the same passage. The document keeps the explanation focused on the medication use case.,"The key point is that asthma policy is linked to comparison number 6, and the passage also mentions a required step.","The key point is that asthma policy is linked to comparison number 6, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,support ticket
1101,Sports,player performance,stamina benchmark,Summarize the main fact about stamina benchmark from the passage.,The document explains that stamina benchmark is linked to decrease number 3. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the player performance use case.,"The key point is that stamina benchmark is linked to decrease number 3, and the passage also mentions a best practice.",The key point is that stamina benchmark is linked to decrease number 3.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,training note
1102,Legal,privacy,data retention workflow,What does the document say about data retention workflow?,The passage states that data retention workflow is linked to increase number 2. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the privacy use case.,"The key point is that data retention workflow is linked to increase number 2, and the passage also mentions a estimated cost.","The key point is that data retention workflow is linked to increase number 2, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",policy memo
1103,Healthcare,symptoms,migraine overview,What does the document say about migraine overview?,The context indicates that migraine overview is linked to warning sign number 1. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the symptoms use case.,"The key point is that migraine overview is linked to warning sign number 1, and the passage also mentions a weekly review.","Since migraine overview mentions a weekly review, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,FAQ excerpt
1104,Sports,player performance,stamina benchmark,Which detail is supported by the context for stamina benchmark?,The evidence shows that stamina benchmark is linked to threshold number 14. A verification step is also mentioned in the same passage. The document keeps the explanation focused on the player performance use case.,"The key point is that stamina benchmark is linked to threshold number 14, and the passage also mentions a verification step.","The key point is that stamina benchmark is linked to threshold number 14, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",training note
1105,Finance,banking,loan repayment,What is the correct answer regarding loan repayment?,The document explains that loan repayment is linked to recommended action number 5. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the banking use case.,"The key point is that loan repayment is linked to recommended action number 5, and the passage also mentions a estimated cost.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,support ticket
1106,History,culture,trade routes,Which detail is supported by the context for trade routes?,The context indicates that trade routes is linked to threshold number 12. A required step is also mentioned in the same passage. The document keeps the explanation focused on the culture use case.,"The key point is that trade routes is linked to threshold number 12, and the passage also mentions a required step.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,FAQ excerpt
1107,Food,cooking,spices,What is the correct answer regarding spices?,The passage states that spices is linked to guideline number 14. A follow-up action is also mentioned in the same passage. The document keeps the explanation focused on the cooking use case.,"The key point is that spices is linked to guideline number 14, and the passage also mentions a follow-up action.","The key point is that spices is linked to guideline number 14, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,knowledge base article
1108,Environment,air quality,particulate matter workflow,"According to the provided context, what is the key point about particulate matter workflow?",The passage states that particulate matter workflow is linked to increase number 1. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the air quality use case.,"The key point is that particulate matter workflow is linked to increase number 1, and the passage also mentions a estimated cost.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,FAQ excerpt
1109,Environment,energy,solar adoption,Summarize the main fact about solar adoption from the passage.,The source says that solar adoption is linked to comparison number 17. A verification step is also mentioned in the same passage. The document keeps the explanation focused on the energy use case.,"The key point is that solar adoption is linked to comparison number 17, and the passage also mentions a verification step.","Since solar adoption mentions a verification step, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,knowledge base article
1110,Education,study plan,final revision,What does the document say about final revision?,The document explains that final revision is linked to procedure number 17. A priority order is also mentioned in the same passage. The document keeps the explanation focused on the study plan use case.,"The key point is that final revision is linked to procedure number 17, and the passage also mentions a priority order.","The key point is that final revision is linked to procedure number 17, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,FAQ excerpt
1111,Legal,compliance,record keeping benchmark,Which detail is supported by the context for record keeping benchmark?,The document explains that record keeping benchmark is linked to threshold number 12. A required step is also mentioned in the same passage. The document keeps the explanation focused on the compliance use case.,"The key point is that record keeping benchmark is linked to threshold number 12, and the passage also mentions a required step.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,knowledge base article
1112,Education,concept,machine learning policy,"According to the provided context, what is the key point about machine learning policy?",The context indicates that machine learning policy is linked to guideline number 4. A follow-up action is also mentioned in the same passage. The document keeps the explanation focused on the concept use case.,"The key point is that machine learning policy is linked to guideline number 4, and the passage also mentions a follow-up action.",The answer concerns an unrelated topic and says that machine learning policy is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,policy memo
1113,Legal,privacy,data retention,What does the document say about data retention?,The document explains that data retention is linked to recommended action number 3. A follow-up action is also mentioned in the same passage. The document keeps the explanation focused on the privacy use case.,"The key point is that data retention is linked to recommended action number 3, and the passage also mentions a follow-up action.","The key point is that data retention is linked to recommended action number 3, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",support ticket
1114,Food,food safety,storage temperature benchmark,"According to the provided context, what is the key point about storage temperature benchmark?",The source says that storage temperature benchmark is linked to warning sign number 3. A required step is also mentioned in the same passage. The document keeps the explanation focused on the food safety use case.,"The key point is that storage temperature benchmark is linked to warning sign number 3, and the passage also mentions a required step.","Since storage temperature benchmark mentions a required step, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,knowledge base article
1115,Legal,compliance,record keeping,Which detail is supported by the context for record keeping?,The source says that record keeping is linked to recommended action number 12. A required step is also mentioned in the same passage. The document keeps the explanation focused on the compliance use case.,"The key point is that record keeping is linked to recommended action number 12, and the passage also mentions a required step.","The key point is that record keeping is linked to recommended action number 12, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,knowledge base article
1116,Finance,credit,credit score benchmark,Summarize the main fact about credit score benchmark from the passage.,The passage states that credit score benchmark is linked to warning sign number 15. A exception clause is also mentioned in the same passage. The document keeps the explanation focused on the credit use case.,"The key point is that credit score benchmark is linked to warning sign number 15, and the passage also mentions a exception clause.","The key point is that credit score benchmark is linked to warning sign number 15, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",support ticket
1117,Science,chemistry,reaction rate benchmark,Which detail is supported by the context for reaction rate benchmark?,The passage states that reaction rate benchmark is linked to procedure number 1. A required step is also mentioned in the same passage. The document keeps the explanation focused on the chemistry use case.,"The key point is that reaction rate benchmark is linked to procedure number 1, and the passage also mentions a required step.",The key point is that reaction rate benchmark is linked to procedure number 1.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,policy memo
1118,Education,course selection,statistics,Summarize the main fact about statistics from the passage.,The source says that statistics is linked to increase number 17. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the course selection use case.,"The key point is that statistics is linked to increase number 17, and the passage also mentions a best practice.","The key point is that statistics is linked to increase number 17, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",support ticket
1119,Science,astronomy,exoplanets,What does the document say about exoplanets?,The source says that exoplanets is linked to guideline number 7. A follow-up action is also mentioned in the same passage. The document keeps the explanation focused on the astronomy use case.,"The key point is that exoplanets is linked to guideline number 7, and the passage also mentions a follow-up action.",The answer concerns an unrelated topic and says that exoplanets is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,knowledge base article
1120,Education,exam prep,linear algebra,Which detail is supported by the context for linear algebra?,The document explains that linear algebra is linked to increase number 16. A exception clause is also mentioned in the same passage. The document keeps the explanation focused on the exam prep use case.,"The key point is that linear algebra is linked to increase number 16, and the passage also mentions a exception clause.","The key point is that linear algebra is not linked to increase number 16; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,FAQ excerpt
1121,Education,exam prep,linear algebra,Which detail is supported by the context for linear algebra?,The context indicates that linear algebra is linked to causal factor number 3. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the exam prep use case.,"The key point is that linear algebra is linked to causal factor number 3, and the passage also mentions a best practice.",The answer concerns an unrelated topic and says that linear algebra is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,FAQ excerpt
1122,History,event,industrial revolution,"According to the provided context, what is the key point about industrial revolution?",The source says that industrial revolution is linked to threshold number 7. A priority order is also mentioned in the same passage. The document keeps the explanation focused on the event use case.,"The key point is that industrial revolution is linked to threshold number 7, and the passage also mentions a priority order.","The key point is that industrial revolution is linked to threshold number 7, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,FAQ excerpt
1123,Travel,booking,cancellation policy,"According to the provided context, what is the key point about cancellation policy?",The context indicates that cancellation policy is linked to causal factor number 11. A exception clause is also mentioned in the same passage. The document keeps the explanation focused on the booking use case.,"The key point is that cancellation policy is linked to causal factor number 11, and the passage also mentions a exception clause.",The key point is that cancellation policy is linked to causal factor number 11.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,support ticket
1124,Sports,team strategy,set pieces overview,Summarize the main fact about set pieces overview from the passage.,The evidence shows that set pieces overview is linked to increase number 6. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the team strategy use case.,"The key point is that set pieces overview is linked to increase number 6, and the passage also mentions a risk factor.","Since set pieces overview mentions a risk factor, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,training note
1125,Sports,player performance,stamina,Summarize the main fact about stamina from the passage.,The passage states that stamina is linked to procedure number 6. A verification step is also mentioned in the same passage. The document keeps the explanation focused on the player performance use case.,"The key point is that stamina is linked to procedure number 6, and the passage also mentions a verification step.","Since stamina mentions a verification step, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,knowledge base article
1126,Science,chemistry,reaction rate,"According to the provided context, what is the key point about reaction rate?",The passage states that reaction rate is linked to causal factor number 16. A priority order is also mentioned in the same passage. The document keeps the explanation focused on the chemistry use case.,"The key point is that reaction rate is linked to causal factor number 16, and the passage also mentions a priority order.",The answer concerns an unrelated topic and says that reaction rate is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,support ticket
1127,Science,physics,force and motion,What does the document say about force and motion?,The context indicates that force and motion is linked to decrease number 7. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the physics use case.,"The key point is that force and motion is linked to decrease number 7, and the passage also mentions a weekly review.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,FAQ excerpt
1128,Healthcare,diagnosis,type 2 diabetes,What does the document say about type 2 diabetes?,The source says that type 2 diabetes is linked to recommended action number 3. A priority order is also mentioned in the same passage. The document keeps the explanation focused on the diagnosis use case.,"The key point is that type 2 diabetes is linked to recommended action number 3, and the passage also mentions a priority order.","The key point is that type 2 diabetes is linked to recommended action number 3, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,knowledge base article
1129,Finance,credit,credit score guidance,What is the correct answer regarding credit score guidance?,The evidence shows that credit score guidance is linked to procedure number 13. A time window is also mentioned in the same passage. The document keeps the explanation focused on the credit use case.,"The key point is that credit score guidance is linked to procedure number 13, and the passage also mentions a time window.","The key point is that credit score guidance is not linked to procedure number 13; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,FAQ excerpt
1130,Science,earth science,climate patterns overview,Which detail is supported by the context for climate patterns overview?,The passage states that climate patterns overview is linked to deadline number 5. A exception clause is also mentioned in the same passage. The document keeps the explanation focused on the earth science use case.,"The key point is that climate patterns overview is linked to deadline number 5, and the passage also mentions a exception clause.",The key point is that climate patterns overview is linked to deadline number 5.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,policy memo
1131,Environment,air quality,particulate matter,"According to the provided context, what is the key point about particulate matter?",The document explains that particulate matter is linked to recommended action number 6. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the air quality use case.,"The key point is that particulate matter is linked to recommended action number 6, and the passage also mentions a risk factor.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,policy memo
1132,Legal,compliance,record keeping guidance,What is the correct answer regarding record keeping guidance?,The context indicates that record keeping guidance is linked to causal factor number 9. A follow-up action is also mentioned in the same passage. The document keeps the explanation focused on the compliance use case.,"The key point is that record keeping guidance is linked to causal factor number 9, and the passage also mentions a follow-up action.","The key point is that record keeping guidance is linked to causal factor number 9, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",training note
1133,Finance,banking,loan repayment,Which detail is supported by the context for loan repayment?,The evidence shows that loan repayment is linked to recommended action number 10. A time window is also mentioned in the same passage. The document keeps the explanation focused on the banking use case.,"The key point is that loan repayment is linked to recommended action number 10, and the passage also mentions a time window.","The key point is that loan repayment is linked to recommended action number 10, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",FAQ excerpt
1134,Food,diet,fiber,What does the document say about fiber?,The context indicates that fiber is linked to comparison number 12. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the diet use case.,"The key point is that fiber is linked to comparison number 12, and the passage also mentions a weekly review.","The key point is that fiber is linked to comparison number 12, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",policy memo
1135,Business,operations,inventory turnover policy,"According to the provided context, what is the key point about inventory turnover policy?",The context indicates that inventory turnover policy is linked to deadline number 13. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the operations use case.,"The key point is that inventory turnover policy is linked to deadline number 13, and the passage also mentions a risk factor.","The key point is that inventory turnover policy is not linked to deadline number 13; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,support ticket
1136,Education,concept,machine learning,Which detail is supported by the context for machine learning?,The passage states that machine learning is linked to increase number 4. A exception clause is also mentioned in the same passage. The document keeps the explanation focused on the concept use case.,"The key point is that machine learning is linked to increase number 4, and the passage also mentions a exception clause.",The key point is that machine learning is linked to increase number 4.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,knowledge base article
1137,Food,cooking,spices policy,"According to the provided context, what is the key point about spices policy?",The context indicates that spices policy is linked to procedure number 7. A required step is also mentioned in the same passage. The document keeps the explanation focused on the cooking use case.,"The key point is that spices policy is linked to procedure number 7, and the passage also mentions a required step.","The key point is that spices policy is linked to procedure number 7, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,training note
1138,Finance,risk,emergency fund,Summarize the main fact about emergency fund from the passage.,The passage states that emergency fund is linked to procedure number 11. A required step is also mentioned in the same passage. The document keeps the explanation focused on the risk use case.,"The key point is that emergency fund is linked to procedure number 11, and the passage also mentions a required step.",The key point is that emergency fund is linked to procedure number 11.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,support ticket
1139,Business,strategy,market positioning,Summarize the main fact about market positioning from the passage.,The context indicates that market positioning is linked to warning sign number 16. A required step is also mentioned in the same passage. The document keeps the explanation focused on the strategy use case.,"The key point is that market positioning is linked to warning sign number 16, and the passage also mentions a required step.",The answer concerns an unrelated topic and says that market positioning is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,training note
1140,Food,food safety,storage temperature,Which detail is supported by the context for storage temperature?,The passage states that storage temperature is linked to causal factor number 4. A follow-up action is also mentioned in the same passage. The document keeps the explanation focused on the food safety use case.,"The key point is that storage temperature is linked to causal factor number 4, and the passage also mentions a follow-up action.","The key point is that storage temperature is not linked to causal factor number 4; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,support ticket
1141,Travel,booking,cancellation policy,What does the document say about cancellation policy?,The context indicates that cancellation policy is linked to comparison number 15. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the booking use case.,"The key point is that cancellation policy is linked to comparison number 15, and the passage also mentions a risk factor.","The key point is that cancellation policy is linked to comparison number 15, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,knowledge base article
1142,Sports,team strategy,set pieces,Summarize the main fact about set pieces from the passage.,The passage states that set pieces is linked to deadline number 1. A priority order is also mentioned in the same passage. The document keeps the explanation focused on the team strategy use case.,"The key point is that set pieces is linked to deadline number 1, and the passage also mentions a priority order.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,training note
