id,domain,subdomain,topic,question,retrieved_context,ground_truth_answer,model_answer,failure_type,severity,evidence_quality,explanation,source_style,faithfulness_result,faithfulness_label
1005,Healthcare,prevention,influenza guidance,"According to the provided context, what is the key point about influenza guidance?",The evidence shows that influenza guidance is linked to causal factor number 11. A exception clause is also mentioned in the same passage. The document keeps the explanation focused on the prevention use case.,"The key point is that influenza guidance is linked to causal factor number 11, and the passage also mentions a exception clause.","The key point is that influenza guidance is linked to causal factor number 11, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,support ticket,"[{'claim': 'The key point is that influenza guidance is linked to causal factor number 11, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9893968105316162, 'contradiction': 0.009993954561650753, 'entailment': 0.0006091785617172718}}]",UNSUPPORTED
1006,Sports,team strategy,set pieces overview,"According to the provided context, what is the key point about set pieces overview?",The context indicates that set pieces overview is linked to comparison number 5. A follow-up action is also mentioned in the same passage. The document keeps the explanation focused on the team strategy use case.,"The key point is that set pieces overview is linked to comparison number 5, and the passage also mentions a follow-up action.","The key point is that set pieces overview is linked to comparison number 5, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,training note,"[{'claim': 'The key point is that set pieces overview is linked to comparison number 5, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8887948989868164, 'contradiction': 0.11043984442949295, 'entailment': 0.0007653386564925313}}]",UNSUPPORTED
1007,History,event,industrial revolution,"According to the provided context, what is the key point about industrial revolution?",The evidence shows that industrial revolution is linked to decrease number 8. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the event use case.,"The key point is that industrial revolution is linked to decrease number 8, and the passage also mentions a weekly review.","The key point is that industrial revolution is linked to decrease number 8, and the passage also mentions a weekly review.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,knowledge base article,"[{'claim': 'The key point is that industrial revolution is linked to decrease number 8, and the passage also mentions a weekly review.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.7892685532569885, 'neutral': 0.1947866529226303, 'contradiction': 0.015944795683026314}}]",SUPPORTED
1008,Legal,contract clause,termination,"According to the provided context, what is the key point about termination?",The context indicates that termination is linked to decrease number 10. A required step is also mentioned in the same passage. The document keeps the explanation focused on the contract clause use case.,"The key point is that termination is linked to decrease number 10, and the passage also mentions a required step.","Since termination mentions a required step, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,policy memo,"[{'claim': 'Since termination mentions a required step, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9358184337615967, 'contradiction': 0.04214136675000191, 'entailment': 0.02204025909304619}}]",UNSUPPORTED
1009,Environment,air quality,particulate matter policy,What is the correct answer regarding particulate matter policy?,The document explains that particulate matter policy is linked to causal factor number 8. A exception clause is also mentioned in the same passage. The document keeps the explanation focused on the air quality use case.,"The key point is that particulate matter policy is linked to causal factor number 8, and the passage also mentions a exception clause.","Since particulate matter policy mentions a exception clause, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,support ticket,"[{'claim': 'Since particulate matter policy mentions a exception clause, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9400147795677185, 'contradiction': 0.05517600476741791, 'entailment': 0.004809195175766945}}]",UNSUPPORTED
1010,Education,course selection,statistics overview,What is the correct answer regarding statistics overview?,The context indicates that statistics overview is linked to causal factor number 11. A follow-up action is also mentioned in the same passage. The document keeps the explanation focused on the course selection use case.,"The key point is that statistics overview is linked to causal factor number 11, and the passage also mentions a follow-up action.","The key point is that statistics overview is linked to causal factor number 11, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",knowledge base article,"[{'claim': 'The key point is that statistics overview is linked to causal factor number 11, but the supporting reference points to another passage.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.5974387526512146, 'neutral': 0.3925591707229614, 'contradiction': 0.010002096183598042}}]",SUPPORTED
1011,Travel,transport,rail schedules,Summarize the main fact about rail schedules from the passage.,The document explains that rail schedules is linked to causal factor number 17. A required step is also mentioned in the same passage. The document keeps the explanation focused on the transport use case.,"The key point is that rail schedules is linked to causal factor number 17, and the passage also mentions a required step.",The answer concerns an unrelated topic and says that rail schedules is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,FAQ excerpt,"[{'claim': 'The answer concerns an unrelated topic and says that rail schedules is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9995056390762329, 'neutral': 0.00039597658906131983, 'entailment': 9.843231964623556e-05}}]",CONTRADICTED
1012,Healthcare,prevention,influenza overview,Summarize the main fact about influenza overview from the passage.,The document explains that influenza overview is linked to warning sign number 15. A required step is also mentioned in the same passage. The document keeps the explanation focused on the prevention use case.,"The key point is that influenza overview is linked to warning sign number 15, and the passage also mentions a required step.","The key point is that influenza overview is not linked to warning sign number 15; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,policy memo,"[{'claim': 'The key point is that influenza overview is not linked to warning sign number 15; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9991375207901001, 'neutral': 0.0005510231130756438, 'entailment': 0.0003114077844657004}}]",CONTRADICTED
1013,Education,assignment,research methods,What does the document say about research methods?,The document explains that research methods is linked to comparison number 10. A required step is also mentioned in the same passage. The document keeps the explanation focused on the assignment use case.,"The key point is that research methods is linked to comparison number 10, and the passage also mentions a required step.","The key point is that research methods is linked to comparison number 10, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",support ticket,"[{'claim': 'The key point is that research methods is linked to comparison number 10, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.6995311975479126, 'contradiction': 0.20717595517635345, 'entailment': 0.09329283237457275}}]",UNSUPPORTED
1014,Sports,training,recovery,What is the correct answer regarding recovery?,The context indicates that recovery is linked to recommended action number 12. A priority order is also mentioned in the same passage. The document keeps the explanation focused on the training use case.,"The key point is that recovery is linked to recommended action number 12, and the passage also mentions a priority order.","The key point is that recovery is linked to recommended action number 12, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",policy memo,"[{'claim': 'The key point is that recovery is linked to recommended action number 12, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.7616463303565979, 'entailment': 0.20574568212032318, 'contradiction': 0.03260793909430504}}]",UNSUPPORTED
1015,Education,assignment,research methods,"According to the provided context, what is the key point about research methods?",The document explains that research methods is linked to deadline number 12. A required step is also mentioned in the same passage. The document keeps the explanation focused on the assignment use case.,"The key point is that research methods is linked to deadline number 12, and the passage also mentions a required step.","The key point is that research methods is not linked to deadline number 12; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,FAQ excerpt,"[{'claim': 'The key point is that research methods is not linked to deadline number 12; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9993866682052612, 'neutral': 0.0003712932229973376, 'entailment': 0.0002420122764306143}}]",CONTRADICTED
1016,Travel,booking,cancellation policy guidance,"According to the provided context, what is the key point about cancellation policy guidance?",The context indicates that cancellation policy guidance is linked to deadline number 8. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the booking use case.,"The key point is that cancellation policy guidance is linked to deadline number 8, and the passage also mentions a best practice.","The key point is that cancellation policy guidance is linked to deadline number 8, and the passage also mentions a best practice.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,training note,"[{'claim': 'The key point is that cancellation policy guidance is linked to deadline number 8, and the passage also mentions a best practice.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.8507101535797119, 'neutral': 0.1475091129541397, 'contradiction': 0.0017807490658015013}}]",SUPPORTED
1017,Business,sales,conversion rate overview,Summarize the main fact about conversion rate overview from the passage.,The document explains that conversion rate overview is linked to guideline number 4. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the sales use case.,"The key point is that conversion rate overview is linked to guideline number 4, and the passage also mentions a best practice.","The key point is that conversion rate overview is linked to guideline number 4, and the passage also mentions a best practice.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,knowledge base article,"[{'claim': 'The key point is that conversion rate overview is linked to guideline number 4, and the passage also mentions a best practice.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.6556811332702637, 'neutral': 0.3408234119415283, 'contradiction': 0.0034954706206917763}}]",SUPPORTED
1018,Education,exam prep,linear algebra overview,Summarize the main fact about linear algebra overview from the passage.,The context indicates that linear algebra overview is linked to comparison number 9. A priority order is also mentioned in the same passage. The document keeps the explanation focused on the exam prep use case.,"The key point is that linear algebra overview is linked to comparison number 9, and the passage also mentions a priority order.","The key point is that linear algebra overview is linked to comparison number 9, and the passage also mentions a priority order.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,knowledge base article,"[{'claim': 'The key point is that linear algebra overview is linked to comparison number 9, and the passage also mentions a priority order.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.8380177617073059, 'neutral': 0.15855515003204346, 'contradiction': 0.0034270496107637882}}]",SUPPORTED
1019,Healthcare,prevention,influenza,What does the document say about influenza?,The context indicates that influenza is linked to decrease number 6. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the prevention use case.,"The key point is that influenza is linked to decrease number 6, and the passage also mentions a weekly review.","The key point is that influenza is linked to decrease number 6, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",training note,"[{'claim': 'The key point is that influenza is linked to decrease number 6, but the supporting reference points to another passage.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.6109556555747986, 'neutral': 0.38032880425453186, 'contradiction': 0.008715545758605003}}]",SUPPORTED
1020,Science,physics,force and motion,What does the document say about force and motion?,The passage states that force and motion is linked to recommended action number 7. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the physics use case.,"The key point is that force and motion is linked to recommended action number 7, and the passage also mentions a estimated cost.","Since force and motion mentions a estimated cost, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,knowledge base article,"[{'claim': 'Since force and motion mentions a estimated cost, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9464631676673889, 'contradiction': 0.04908929765224457, 'entailment': 0.004447492305189371}}]",UNSUPPORTED
1021,Travel,booking,cancellation policy,"According to the provided context, what is the key point about cancellation policy?",The source says that cancellation policy is linked to guideline number 13. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the booking use case.,"The key point is that cancellation policy is linked to guideline number 13, and the passage also mentions a weekly review.",The key point is that cancellation policy is linked to guideline number 13.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,knowledge base article,"[{'claim': 'The key point is that cancellation policy is linked to guideline number 13.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8056397438049316, 'entailment': 0.1776716113090515, 'contradiction': 0.016688678413629532}}]",UNSUPPORTED
1022,Business,strategy,market positioning,What does the document say about market positioning?,The passage states that market positioning is linked to increase number 16. A follow-up action is also mentioned in the same passage. The document keeps the explanation focused on the strategy use case.,"The key point is that market positioning is linked to increase number 16, and the passage also mentions a follow-up action.",The answer concerns an unrelated topic and says that market positioning is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,knowledge base article,"[{'claim': 'The answer concerns an unrelated topic and says that market positioning is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.999021053314209, 'neutral': 0.0009028204367496073, 'entailment': 7.611247565364465e-05}}]",CONTRADICTED
1023,Travel,transport,rail schedules overview,Summarize the main fact about rail schedules overview from the passage.,The evidence shows that rail schedules overview is linked to warning sign number 4. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the transport use case.,"The key point is that rail schedules overview is linked to warning sign number 4, and the passage also mentions a best practice.","The key point is that rail schedules overview is linked to warning sign number 4, and the passage also mentions a best practice.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,knowledge base article,"[{'claim': 'The key point is that rail schedules overview is linked to warning sign number 4, and the passage also mentions a best practice.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.6915136575698853, 'neutral': 0.3042678236961365, 'contradiction': 0.004218531772494316}}]",SUPPORTED
1024,History,leader,mauryan empire,"According to the provided context, what is the key point about mauryan empire?",The passage states that mauryan empire is linked to threshold number 15. A exception clause is also mentioned in the same passage. The document keeps the explanation focused on the leader use case.,"The key point is that mauryan empire is linked to threshold number 15, and the passage also mentions a exception clause.","The key point is that mauryan empire is not linked to threshold number 15; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,training note,"[{'claim': 'The key point is that mauryan empire is not linked to threshold number 15; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9976849555969238, 'neutral': 0.001291365479119122, 'entailment': 0.0010236205998808146}}]",CONTRADICTED
1025,Food,meal planning,portion control,What does the document say about portion control?,The document explains that portion control is linked to causal factor number 7. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the meal planning use case.,"The key point is that portion control is linked to causal factor number 7, and the passage also mentions a risk factor.","The key point is that portion control is linked to causal factor number 7, and the passage also mentions a risk factor.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,FAQ excerpt,"[{'claim': 'The key point is that portion control is linked to causal factor number 7, and the passage also mentions a risk factor.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.7455055117607117, 'neutral': 0.2487981766462326, 'contradiction': 0.00569630041718483}}]",SUPPORTED
1026,Technology,networking,latency,"According to the provided context, what is the key point about latency?",The source says that latency is linked to increase number 3. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the networking use case.,"The key point is that latency is linked to increase number 3, and the passage also mentions a best practice.","The key point is that latency is linked to increase number 3, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,FAQ excerpt,"[{'claim': 'The key point is that latency is linked to increase number 3, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9272279143333435, 'contradiction': 0.0717853382229805, 'entailment': 0.0009867921471595764}}]",UNSUPPORTED
1027,Legal,privacy,data retention,What is the correct answer regarding data retention?,The passage states that data retention is linked to threshold number 11. A follow-up action is also mentioned in the same passage. The document keeps the explanation focused on the privacy use case.,"The key point is that data retention is linked to threshold number 11, and the passage also mentions a follow-up action.","The key point is that data retention is not linked to threshold number 11; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,policy memo,"[{'claim': 'The key point is that data retention is not linked to threshold number 11; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.999211311340332, 'neutral': 0.0005110141355544329, 'entailment': 0.0002776907931547612}}]",CONTRADICTED
1028,History,conflict,world war II guidance,Which detail is supported by the context for world war II guidance?,The passage states that world war II guidance is linked to causal factor number 13. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the conflict use case.,"The key point is that world war II guidance is linked to causal factor number 13, and the passage also mentions a estimated cost.","The key point is that world war II guidance is linked to causal factor number 13, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,support ticket,"[{'claim': 'The key point is that world war II guidance is linked to causal factor number 13, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9070547223091125, 'contradiction': 0.09217262268066406, 'entailment': 0.0007727259071543813}}]",UNSUPPORTED
1029,History,conflict,world war II,"According to the provided context, what is the key point about world war II?",The evidence shows that world war II is linked to causal factor number 10. A priority order is also mentioned in the same passage. The document keeps the explanation focused on the conflict use case.,"The key point is that world war II is linked to causal factor number 10, and the passage also mentions a priority order.","The key point is that world war II is linked to causal factor number 10, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,knowledge base article,"[{'claim': 'The key point is that world war II is linked to causal factor number 10, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8383774161338806, 'contradiction': 0.16058582067489624, 'entailment': 0.0010367872891947627}}]",UNSUPPORTED
1030,Travel,budget travel,daily spending,Which detail is supported by the context for daily spending?,The evidence shows that daily spending is linked to comparison number 1. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the budget travel use case.,"The key point is that daily spending is linked to comparison number 1, and the passage also mentions a estimated cost.","Since daily spending mentions a estimated cost, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,policy memo,"[{'claim': 'Since daily spending mentions a estimated cost, the model concludes an unrelated extra result that does not follow.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9829776287078857, 'neutral': 0.014943643473088741, 'entailment': 0.00207878858782351}}]",CONTRADICTED
1031,Sports,training,recovery,What does the document say about recovery?,The context indicates that recovery is linked to increase number 12. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the training use case.,"The key point is that recovery is linked to increase number 12, and the passage also mentions a best practice.","The key point is that recovery is linked to increase number 12, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",training note,"[{'claim': 'The key point is that recovery is linked to increase number 12, but the supporting reference points to another passage.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.5964276194572449, 'neutral': 0.388126015663147, 'contradiction': 0.015446385368704796}}]",SUPPORTED
1032,Technology,cloud,auto scaling,"According to the provided context, what is the key point about auto scaling?",The context indicates that auto scaling is linked to threshold number 8. A follow-up action is also mentioned in the same passage. The document keeps the explanation focused on the cloud use case.,"The key point is that auto scaling is linked to threshold number 8, and the passage also mentions a follow-up action.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,training note,"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}",UNCERTAINTY
1033,Healthcare,diagnosis,type 2 diabetes overview,Summarize the main fact about type 2 diabetes overview from the passage.,The source says that type 2 diabetes overview is linked to decrease number 10. A verification step is also mentioned in the same passage. The document keeps the explanation focused on the diagnosis use case.,"The key point is that type 2 diabetes overview is linked to decrease number 10, and the passage also mentions a verification step.","Since type 2 diabetes overview mentions a verification step, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,knowledge base article,"[{'claim': 'Since type 2 diabetes overview mentions a verification step, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9032304883003235, 'contradiction': 0.07212932407855988, 'entailment': 0.024640100076794624}}]",UNSUPPORTED
1034,Legal,compliance,record keeping,What does the document say about record keeping?,The evidence shows that record keeping is linked to threshold number 17. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the compliance use case.,"The key point is that record keeping is linked to threshold number 17, and the passage also mentions a best practice.",The key point is that record keeping is linked to threshold number 17.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,knowledge base article,"[{'claim': 'The key point is that record keeping is linked to threshold number 17.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.7215626835823059, 'entailment': 0.2407212257385254, 'contradiction': 0.037716034799814224}}]",UNSUPPORTED
1035,Business,sales,conversion rate,Which detail is supported by the context for conversion rate?,The document explains that conversion rate is linked to guideline number 13. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the sales use case.,"The key point is that conversion rate is linked to guideline number 13, and the passage also mentions a estimated cost.",The answer concerns an unrelated topic and says that conversion rate is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,knowledge base article,"[{'claim': 'The answer concerns an unrelated topic and says that conversion rate is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.999606192111969, 'neutral': 0.0002934466174338013, 'entailment': 0.00010033719445345923}}]",CONTRADICTED
1036,Environment,wildlife,habitat loss workflow,"According to the provided context, what is the key point about habitat loss workflow?",The source says that habitat loss workflow is linked to causal factor number 3. A priority order is also mentioned in the same passage. The document keeps the explanation focused on the wildlife use case.,"The key point is that habitat loss workflow is linked to causal factor number 3, and the passage also mentions a priority order.","Since habitat loss workflow mentions a priority order, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,training note,"[{'claim': 'Since habitat loss workflow mentions a priority order, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9708055257797241, 'contradiction': 0.023441994562745094, 'entailment': 0.005752511788159609}}]",UNSUPPORTED
1037,Science,biology,photosynthesis,What is the correct answer regarding photosynthesis?,The context indicates that photosynthesis is linked to decrease number 9. A verification step is also mentioned in the same passage. The document keeps the explanation focused on the biology use case.,"The key point is that photosynthesis is linked to decrease number 9, and the passage also mentions a verification step.","The key point is that photosynthesis is linked to decrease number 9, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,knowledge base article,"[{'claim': 'The key point is that photosynthesis is linked to decrease number 9, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.926276445388794, 'contradiction': 0.07280556857585907, 'entailment': 0.0009178780601359904}}]",UNSUPPORTED
1038,Technology,machine learning,overfitting,Summarize the main fact about overfitting from the passage.,The source says that overfitting is linked to guideline number 7. A time window is also mentioned in the same passage. The document keeps the explanation focused on the machine learning use case.,"The key point is that overfitting is linked to guideline number 7, and the passage also mentions a time window.","The key point is that overfitting is not linked to guideline number 7; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,policy memo,"[{'claim': 'The key point is that overfitting is not linked to guideline number 7; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9972925782203674, 'neutral': 0.00230138236656785, 'entailment': 0.00040599619387649}}]",CONTRADICTED
1039,Healthcare,symptoms,migraine,What does the document say about migraine?,The source says that migraine is linked to decrease number 11. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the symptoms use case.,"The key point is that migraine is linked to decrease number 11, and the passage also mentions a risk factor.",The answer concerns an unrelated topic and says that migraine is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,training note,"[{'claim': 'The answer concerns an unrelated topic and says that migraine is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9994117021560669, 'neutral': 0.0003777268866542727, 'entailment': 0.00021067220950499177}}]",CONTRADICTED
1040,Technology,security,password hashing,Summarize the main fact about password hashing from the passage.,The document explains that password hashing is linked to deadline number 8. A priority order is also mentioned in the same passage. The document keeps the explanation focused on the security use case.,"The key point is that password hashing is linked to deadline number 8, and the passage also mentions a priority order.","The key point is that password hashing is not linked to deadline number 8; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,training note,"[{'claim': 'The key point is that password hashing is not linked to deadline number 8; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9995219707489014, 'neutral': 0.00025980346254073083, 'entailment': 0.00021832354832440615}}]",CONTRADICTED
1041,Healthcare,lab results,anemia guidance,Summarize the main fact about anemia guidance from the passage.,The evidence shows that anemia guidance is linked to recommended action number 5. A required step is also mentioned in the same passage. The document keeps the explanation focused on the lab results use case.,"The key point is that anemia guidance is linked to recommended action number 5, and the passage also mentions a required step.",The key point is that anemia guidance is linked to recommended action number 5.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,knowledge base article,"[{'claim': 'The key point is that anemia guidance is linked to recommended action number 5.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.7300375699996948, 'entailment': 0.22699356079101562, 'contradiction': 0.042968861758708954}}]",UNSUPPORTED
1042,Travel,booking,cancellation policy,What is the correct answer regarding cancellation policy?,The passage states that cancellation policy is linked to causal factor number 2. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the booking use case.,"The key point is that cancellation policy is linked to causal factor number 2, and the passage also mentions a weekly review.","The key point is that cancellation policy is linked to causal factor number 2, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",knowledge base article,"[{'claim': 'The key point is that cancellation policy is linked to causal factor number 2, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.5691482424736023, 'entailment': 0.4233902096748352, 'contradiction': 0.007461518049240112}}]",UNSUPPORTED
1043,Education,exam prep,linear algebra,What does the document say about linear algebra?,The document explains that linear algebra is linked to causal factor number 14. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the exam prep use case.,"The key point is that linear algebra is linked to causal factor number 14, and the passage also mentions a best practice.","Since linear algebra mentions a best practice, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,knowledge base article,"[{'claim': 'Since linear algebra mentions a best practice, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9550328850746155, 'contradiction': 0.0374920554459095, 'entailment': 0.007475079037249088}}]",UNSUPPORTED
1044,History,movement,civil rights,"According to the provided context, what is the key point about civil rights?",The passage states that civil rights is linked to guideline number 5. A follow-up action is also mentioned in the same passage. The document keeps the explanation focused on the movement use case.,"The key point is that civil rights is linked to guideline number 5, and the passage also mentions a follow-up action.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,knowledge base article,"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}",UNCERTAINTY
1045,Technology,software design,API rate limiting benchmark,What is the correct answer regarding API rate limiting benchmark?,The context indicates that API rate limiting benchmark is linked to recommended action number 14. A time window is also mentioned in the same passage. The document keeps the explanation focused on the software design use case.,"The key point is that API rate limiting benchmark is linked to recommended action number 14, and the passage also mentions a time window.",The answer concerns an unrelated topic and says that API rate limiting benchmark is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,support ticket,"[{'claim': 'The answer concerns an unrelated topic and says that API rate limiting benchmark is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9981789588928223, 'neutral': 0.0014814343303442001, 'entailment': 0.00033955610706470907}}]",CONTRADICTED
1046,Science,earth science,climate patterns policy,Which detail is supported by the context for climate patterns policy?,The context indicates that climate patterns policy is linked to increase number 4. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the earth science use case.,"The key point is that climate patterns policy is linked to increase number 4, and the passage also mentions a best practice.",The answer concerns an unrelated topic and says that climate patterns policy is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,policy memo,"[{'claim': 'The answer concerns an unrelated topic and says that climate patterns policy is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9992488026618958, 'neutral': 0.0006068309303373098, 'entailment': 0.0001443596847821027}}]",CONTRADICTED
