faithfulness_result
"[{'claim': 'The answer concerns an unrelated topic and says that market positioning is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9989917874336243, 'neutral': 0.0007802279433235526, 'entailment': 0.00022798424470238388}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that market positioning is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9987686276435852, 'neutral': 0.000930259411688894, 'entailment': 0.00030111713567748666}}]"
"[{'claim': 'The key point is that latency is linked to increase number 14.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8338826298713684, 'entailment': 0.13986194133758545, 'contradiction': 0.02625548280775547}}]"
"[{'claim': 'The key point is that termination is not linked to decrease number 6; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9994753003120422, 'neutral': 0.0002749237173702568, 'entailment': 0.00024982105242088437}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'The key point is that emergency contacts is linked to recommended action number 9, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8962765336036682, 'contradiction': 0.10321594774723053, 'entailment': 0.0005074750515632331}}]"
"[{'claim': 'The key point is that market positioning overview is linked to warning sign number 16.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.640932559967041, 'entailment': 0.3236938714981079, 'contradiction': 0.03537355363368988}}]"
"[{'claim': 'The key point is that employee onboarding is not linked to causal factor number 12; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9979806542396545, 'neutral': 0.0014119475381448865, 'entailment': 0.0006074781413190067}}]"
"[{'claim': 'The key point is that research methods is not linked to comparison number 7; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9983239769935608, 'neutral': 0.0010655152145773172, 'entailment': 0.0006105020875111222}}]"
"[{'claim': 'The key point is that inventory turnover benchmark is linked to procedure number 16, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'entailment': 0.49702924489974976, 'neutral': 0.4536489248275757, 'contradiction': 0.049321867525577545}}]"
"[{'claim': 'The key point is that note taking guidance is not linked to increase number 2; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9991565942764282, 'entailment': 0.0004393991839606315, 'neutral': 0.0004039630002807826}}]"
"[{'claim': 'The key point is that fiber is linked to warning sign number 5, but the supporting reference points to another passage.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.6284839510917664, 'neutral': 0.3344988524913788, 'contradiction': 0.03701713681221008}}]"
"[{'claim': 'The key point is that index funds is linked to deadline number 3, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'contradiction': 0.4544539451599121, 'neutral': 0.42948204278945923, 'entailment': 0.11606408655643463}}]"
"[{'claim': 'The key point is that migraine is linked to warning sign number 5, and the passage also mentions a time window.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.8122395873069763, 'neutral': 0.18003572523593903, 'contradiction': 0.007724741939455271}}]"
"[{'claim': 'The key point is that termination overview is linked to deadline number 4, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9625007510185242, 'contradiction': 0.036999788135290146, 'entailment': 0.0004994299961254001}}]"
"[{'claim': 'The key point is that customer retention guidance is linked to warning sign number 5, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8070441484451294, 'contradiction': 0.19232165813446045, 'entailment': 0.0006341881235130131}}]"
"[{'claim': 'The key point is that recovery benchmark is linked to procedure number 16.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8580360412597656, 'entailment': 0.10130680352449417, 'contradiction': 0.0406571663916111}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'The key point is that asthma is not linked to comparison number 3; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9994088411331177, 'neutral': 0.00034092951682396233, 'entailment': 0.0002502230927348137}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that particulate matter policy is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9989557266235352, 'neutral': 0.0008814394823275506, 'entailment': 0.0001627420133445412}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that visa requirements workflow is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9983914494514465, 'neutral': 0.0010222595883533359, 'entailment': 0.0005863307160325348}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'The key point is that copyright benchmark is not linked to comparison number 14; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9995545744895935, 'neutral': 0.0002413982292637229, 'entailment': 0.00020405267423484474}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that conversion rate is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9990679621696472, 'neutral': 0.0007996540516614914, 'entailment': 0.000132486573420465}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'The key point is that latency is not linked to causal factor number 2; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9962829947471619, 'neutral': 0.003119527129456401, 'entailment': 0.0005975639214739203}}]"
"[{'claim': 'The key point is that statistics is linked to deadline number 11, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8726938962936401, 'entailment': 0.09465683251619339, 'contradiction': 0.03264930471777916}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that possession benchmark is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.6091194152832031, 'neutral': 0.3874779939651489, 'entailment': 0.003402534406632185}}]"
"[{'claim': 'The key point is that market positioning workflow is linked to comparison number 14, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.6933445930480957, 'entailment': 0.28263524174690247, 'contradiction': 0.02402016893029213}}]"
"[{'claim': 'The key point is that emergency fund policy is linked to increase number 3, and the passage also mentions a best practice.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.8964455723762512, 'neutral': 0.1018730103969574, 'contradiction': 0.0016813556430861354}}]"
"[{'claim': 'The key point is that machine learning is not linked to threshold number 17; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9991132616996765, 'neutral': 0.0006014931132085621, 'entailment': 0.00028520013438537717}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'The key point is that pressing workflow is linked to threshold number 4.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.5997572541236877, 'entailment': 0.31200113892555237, 'contradiction': 0.08824162930250168}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that portion control overview is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9993985891342163, 'neutral': 0.0005437481449916959, 'entailment': 5.768715709564276e-05}}]"
"[{'claim': 'The key point is that latency benchmark is linked to causal factor number 14.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.6428544521331787, 'entailment': 0.31749096512794495, 'contradiction': 0.03965456783771515}}]"
"[{'claim': 'The key point is that monthly expenses is linked to guideline number 1, and the passage also mentions a risk factor.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.9527794718742371, 'neutral': 0.04556961730122566, 'contradiction': 0.0016509175766259432}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'The key point is that water quality workflow is linked to procedure number 17, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.5547851920127869, 'entailment': 0.4001138508319855, 'contradiction': 0.04510097578167915}}]"
"[{'claim': 'Since mauryan empire mentions a weekly review, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8684399724006653, 'contradiction': 0.1191173866391182, 'entailment': 0.012442686595022678}}]"
"[{'claim': 'The key point is that loan repayment is linked to decrease number 7, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9065676331520081, 'contradiction': 0.09271466732025146, 'entailment': 0.0007177280494943261}}]"
"[{'claim': 'The key point is that pressing is linked to increase number 12, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.5914441347122192, 'entailment': 0.3307269513607025, 'contradiction': 0.07782889157533646}}]"
"[{'claim': 'The key point is that termination is linked to increase number 4, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9384552836418152, 'contradiction': 0.060585103929042816, 'entailment': 0.0009595970623195171}}]"
"[{'claim': 'Since visa requirements mentions a time window, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8367063403129578, 'contradiction': 0.14173614978790283, 'entailment': 0.021557459607720375}}]"
"[{'claim': 'Since loan repayment mentions a risk factor, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9420440196990967, 'contradiction': 0.04172718897461891, 'entailment': 0.016228729858994484}}]"
"[{'claim': 'The key point is that fiber overview is linked to procedure number 16, and the passage also mentions a time window.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.8820371627807617, 'neutral': 0.11585046350955963, 'contradiction': 0.002112377667799592}}]"
"[{'claim': 'The key point is that data retention workflow is linked to deadline number 1, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9565059542655945, 'contradiction': 0.04295773804187775, 'entailment': 0.0005362889496609569}}]"
"[{'claim': 'The key point is that market positioning is linked to guideline number 16.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.5591097474098206, 'entailment': 0.42197608947753906, 'contradiction': 0.018914148211479187}}]"
"[{'claim': 'The key point is that habitat loss workflow is linked to decrease number 8, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9858559370040894, 'contradiction': 0.013660338707268238, 'entailment': 0.0004836838925257325}}]"
"[{'claim': 'The key point is that record keeping policy is linked to warning sign number 5, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.7823747992515564, 'contradiction': 0.21702001988887787, 'entailment': 0.0006052444223314524}}]"
"[{'claim': 'Since spices mentions a risk factor, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9733673334121704, 'contradiction': 0.01986883021891117, 'entailment': 0.00676391227170825}}]"
"[{'claim': 'Since notice period mentions a estimated cost, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9798280596733093, 'contradiction': 0.01705600693821907, 'entailment': 0.003115905448794365}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that pressing benchmark is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9987912774085999, 'neutral': 0.0010177321964874864, 'entailment': 0.00019097317999694496}}]"
"[{'claim': 'The key point is that index funds overview is linked to guideline number 5, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.6839612126350403, 'entailment': 0.2470664083957672, 'contradiction': 0.06897234171628952}}]"
"[{'claim': 'The key point is that renaissance workflow is linked to increase number 2, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9828824996948242, 'contradiction': 0.016762835904955864, 'entailment': 0.00035464996472001076}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'Since indexing guidance mentions a priority order, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9888622164726257, 'contradiction': 0.009454037062823772, 'entailment': 0.0016837652074173093}}]"
"[{'claim': 'Since fiber benchmark mentions a exception clause, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9607340693473816, 'contradiction': 0.032699573785066605, 'entailment': 0.006566417869180441}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'Since renaissance mentions a required step, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9503172636032104, 'contradiction': 0.042463622987270355, 'entailment': 0.007219159509986639}}]"
"[{'claim': 'Since civil rights benchmark mentions a follow-up action, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9329544901847839, 'contradiction': 0.057389289140701294, 'entailment': 0.009656175039708614}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'The answer concerns an unrelated topic and says that force and motion benchmark is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9987632036209106, 'neutral': 0.001081774360500276, 'entailment': 0.00015505714691244066}}]"
"[{'claim': 'The key point is that migraine is not linked to guideline number 7; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9978821873664856, 'neutral': 0.0015913568204268813, 'entailment': 0.000526380492374301}}]"
"[{'claim': 'The key point is that type 2 diabetes is linked to decrease number 1, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.4938089847564697, 'entailment': 0.47115132212638855, 'contradiction': 0.03503972291946411}}]"
"[{'claim': 'The key point is that recovery benchmark is linked to warning sign number 7, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9850782155990601, 'contradiction': 0.014479061588644981, 'entailment': 0.0004426816594786942}}]"
"[{'claim': 'The key point is that force and motion guidance is linked to procedure number 9, and the passage also mentions a verification step.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.8521422743797302, 'neutral': 0.1462896317243576, 'contradiction': 0.0015680327778682113}}]"
"[{'claim': 'The key point is that indexing is not linked to warning sign number 6; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.998836100101471, 'neutral': 0.0008533896179869771, 'entailment': 0.00031057660817168653}}]"
"[{'claim': 'The key point is that reaction rate is linked to warning sign number 3, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9607201814651489, 'contradiction': 0.03868957236409187, 'entailment': 0.0005902149132452905}}]"
"[{'claim': 'Since portion control mentions a verification step, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.6703146696090698, 'contradiction': 0.2907794713973999, 'entailment': 0.03890585899353027}}]"
"[{'claim': 'The key point is that cancellation policy overview is linked to warning sign number 4, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9273443818092346, 'contradiction': 0.07211002707481384, 'entailment': 0.0005455073551274836}}]"
"[{'claim': 'Since final revision overview mentions a best practice, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8980109095573425, 'contradiction': 0.08251725137233734, 'entailment': 0.01947186142206192}}]"
"[{'claim': 'The key point is that monthly expenses is linked to comparison number 17, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.6557756662368774, 'entailment': 0.23492923378944397, 'contradiction': 0.10929510742425919}}]"
"[{'claim': 'Since notice period mentions a risk factor, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9758906960487366, 'contradiction': 0.016319124028086662, 'entailment': 0.007790131028741598}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'The key point is that storage temperature overview is linked to guideline number 10.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9030176997184753, 'contradiction': 0.053916070610284805, 'entailment': 0.04306628555059433}}]"
"[{'claim': 'The key point is that statistics is not linked to recommended action number 14; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.999401330947876, 'neutral': 0.00035386194940656424, 'entailment': 0.00024481560103595257}}]"
"[{'claim': 'The key point is that stamina overview is linked to warning sign number 10, and the passage also mentions a risk factor.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.875545084476471, 'neutral': 0.12044227123260498, 'contradiction': 0.00401265686377883}}]"
"[{'claim': 'The key point is that water quality is linked to deadline number 7.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8211725950241089, 'entailment': 0.13696357607841492, 'contradiction': 0.04186384379863739}}]"
"[{'claim': 'The key point is that final revision is linked to deadline number 11, and the passage also mentions a required step.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.7497769594192505, 'neutral': 0.24918599426746368, 'contradiction': 0.0010370693635195494}}]"
"[{'claim': 'The key point is that linear algebra is linked to warning sign number 6, and the passage also mentions a risk factor.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.8231818079948425, 'neutral': 0.17449437081813812, 'contradiction': 0.0023238256108015776}}]"
"[{'claim': 'The key point is that renaissance is not linked to threshold number 17; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9985635876655579, 'neutral': 0.0009136212756857276, 'entailment': 0.0005228611407801509}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that final revision guidance is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9983927607536316, 'neutral': 0.0014349123230203986, 'entailment': 0.00017235023551620543}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'The key point is that statistics benchmark is linked to deadline number 17.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.6698839664459229, 'entailment': 0.30626577138900757, 'contradiction': 0.023850223049521446}}]"
"[{'claim': 'The key point is that machine learning is linked to causal factor number 7, but the supporting reference points to another passage.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.7084147930145264, 'neutral': 0.2678026854991913, 'contradiction': 0.02378249168395996}}]"
"[{'claim': 'Since rail schedules guidance mentions a risk factor, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9685867428779602, 'contradiction': 0.026159321889281273, 'entailment': 0.005253934301435947}}]"
"[{'claim': 'The key point is that auto scaling is linked to guideline number 13, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.5047333240509033, 'entailment': 0.475660115480423, 'contradiction': 0.01960657723248005}}]"
"[{'claim': 'The key point is that copyright benchmark is linked to recommended action number 14, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.6445982456207275, 'entailment': 0.30225303769111633, 'contradiction': 0.05314866825938225}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that civil rights is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.997983455657959, 'neutral': 0.001782773993909359, 'entailment': 0.00023373847943730652}}]"
"[{'claim': 'The key point is that data retention is not linked to recommended action number 17; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9987284541130066, 'neutral': 0.0008193590911105275, 'entailment': 0.0004522070521488786}}]"
"[{'claim': 'The key point is that itinerary is linked to causal factor number 8.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.719089686870575, 'entailment': 0.2502640187740326, 'contradiction': 0.030646270141005516}}]"
"[{'claim': 'The key point is that reaction rate guidance is linked to comparison number 4.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8524340987205505, 'entailment': 0.07955726981163025, 'contradiction': 0.06800861656665802}}]"
"[{'claim': 'The key point is that emergency fund is linked to comparison number 7, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.6161282062530518, 'contradiction': 0.28463828563690186, 'entailment': 0.09923353046178818}}]"
"[{'claim': 'The key point is that possession is linked to deadline number 14.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.7086886167526245, 'entailment': 0.18531577289104462, 'contradiction': 0.10599569231271744}}]"
"[{'claim': 'The key point is that conversion rate overview is linked to guideline number 3, and the passage also mentions a risk factor.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.9412903189659119, 'neutral': 0.05817863717675209, 'contradiction': 0.0005310495034791529}}]"
"[{'claim': 'The key point is that contamination workflow is linked to comparison number 17, and the passage also mentions a estimated cost.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.6407403349876404, 'neutral': 0.3576948642730713, 'contradiction': 0.001564773148857057}}]"
"[{'claim': 'The key point is that itinerary is linked to threshold number 4.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8385613560676575, 'entailment': 0.11131082475185394, 'contradiction': 0.05012780427932739}}]"
"[{'claim': 'The key point is that anemia policy is not linked to recommended action number 11; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9989429116249084, 'neutral': 0.000632984156254679, 'entailment': 0.0004242213908582926}}]"
"[{'claim': 'The key point is that daily spending is linked to recommended action number 12, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9881369471549988, 'contradiction': 0.011518130078911781, 'entailment': 0.00034494855208322406}}]"
"[{'claim': 'The key point is that overfitting benchmark is not linked to decrease number 14; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9963653087615967, 'neutral': 0.0025334893725812435, 'entailment': 0.0011011232854798436}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that final revision benchmark is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9992075562477112, 'neutral': 0.0006351336487568915, 'entailment': 0.0001573919435031712}}]"
"[{'claim': 'The key point is that termination policy is linked to warning sign number 9, and the passage also mentions a exception clause.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.7954752445220947, 'neutral': 0.19675180315971375, 'contradiction': 0.0077729374170303345}}]"
"[{'claim': 'The key point is that reaction rate is linked to deadline number 10, but the supporting reference points to another passage.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.5338521599769592, 'neutral': 0.4305005967617035, 'contradiction': 0.03564723581075668}}]"
"[{'claim': 'The key point is that water quality overview is linked to recommended action number 14, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.6191626191139221, 'entailment': 0.3560730814933777, 'contradiction': 0.024764271453022957}}]"
"[{'claim': 'The key point is that termination is linked to recommended action number 5, and the passage also mentions a weekly review.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.8140798211097717, 'neutral': 0.1840343028306961, 'contradiction': 0.001885912730358541}}]"
"[{'claim': 'The key point is that statistics is linked to comparison number 2, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.716618537902832, 'contradiction': 0.28255507349967957, 'entailment': 0.0008264089119620621}}]"
"[{'claim': 'The key point is that photosynthesis is not linked to recommended action number 11; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9994865655899048, 'neutral': 0.0003091931575909257, 'entailment': 0.00020424534159246832}}]"
"[{'claim': 'The key point is that loan repayment overview is linked to comparison number 15, and the passage also mentions a estimated cost.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.5965979695320129, 'neutral': 0.40083789825439453, 'contradiction': 0.0025641683023422956}}]"
"[{'claim': 'The key point is that recovery is linked to decrease number 11, and the passage also mentions a risk factor.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.9236844182014465, 'neutral': 0.0750044509768486, 'contradiction': 0.001311191008426249}}]"
"[{'claim': 'The key point is that pressing guidance is linked to warning sign number 10.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.816300630569458, 'entailment': 0.16835594177246094, 'contradiction': 0.015343451872467995}}]"
"[{'claim': 'Since rail schedules mentions a verification step, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9417797327041626, 'contradiction': 0.04527165740728378, 'entailment': 0.012948655523359776}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that record keeping is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9994240999221802, 'neutral': 0.00044870850979350507, 'entailment': 0.00012724057887680829}}]"
"[{'claim': 'Since photosynthesis workflow mentions a weekly review, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.651509702205658, 'contradiction': 0.3343724012374878, 'entailment': 0.014118010178208351}}]"
"[{'claim': 'The key point is that industrial revolution overview is linked to deadline number 1, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9839503765106201, 'contradiction': 0.015627171844244003, 'entailment': 0.0004224423610139638}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that win rate is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9994739890098572, 'neutral': 0.0004154470225330442, 'entailment': 0.00011050913599319756}}]"
"[{'claim': 'The key point is that influenza guidance is linked to causal factor number 11, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9893968105316162, 'contradiction': 0.009993954561650753, 'entailment': 0.0006091785617172718}}]"
"[{'claim': 'The key point is that set pieces overview is linked to comparison number 5, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8887948989868164, 'contradiction': 0.11043984442949295, 'entailment': 0.0007653386564925313}}]"
"[{'claim': 'The key point is that industrial revolution is linked to decrease number 8, and the passage also mentions a weekly review.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.7892685532569885, 'neutral': 0.1947866529226303, 'contradiction': 0.015944795683026314}}]"
"[{'claim': 'Since termination mentions a required step, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9358184337615967, 'contradiction': 0.04214136675000191, 'entailment': 0.02204025909304619}}]"
"[{'claim': 'Since particulate matter policy mentions a exception clause, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9400147795677185, 'contradiction': 0.05517600476741791, 'entailment': 0.004809195175766945}}]"
"[{'claim': 'The key point is that statistics overview is linked to causal factor number 11, but the supporting reference points to another passage.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.5974387526512146, 'neutral': 0.3925591707229614, 'contradiction': 0.010002096183598042}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that rail schedules is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9995056390762329, 'neutral': 0.00039597658906131983, 'entailment': 9.843231964623556e-05}}]"
"[{'claim': 'The key point is that influenza overview is not linked to warning sign number 15; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9991375207901001, 'neutral': 0.0005510231130756438, 'entailment': 0.0003114077844657004}}]"
"[{'claim': 'The key point is that research methods is linked to comparison number 10, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.6995311975479126, 'contradiction': 0.20717595517635345, 'entailment': 0.09329283237457275}}]"
"[{'claim': 'The key point is that recovery is linked to recommended action number 12, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.7616463303565979, 'entailment': 0.20574568212032318, 'contradiction': 0.03260793909430504}}]"
"[{'claim': 'The key point is that research methods is not linked to deadline number 12; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9993866682052612, 'neutral': 0.0003712932229973376, 'entailment': 0.0002420122764306143}}]"
