id,domain,subdomain,topic,question,retrieved_context,ground_truth_answer,model_answer,failure_type,severity,evidence_quality,explanation,source_style,faithfulness_result,faithfulness_label,retrieval_score,retrieval_label,predicted_failure
976,Technology,cloud,auto scaling,Which detail is supported by the context for auto scaling?,The context indicates that auto scaling is linked to guideline number 13. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the cloud use case.,"The key point is that auto scaling is linked to guideline number 13, and the passage also mentions a best practice.","The key point is that auto scaling is linked to guideline number 13, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",knowledge base article,"[{'claim': 'The key point is that auto scaling is linked to guideline number 13, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.5047333240509033, 'entailment': 0.475660115480423, 'contradiction': 0.01960657723248005}}]",UNSUPPORTED,0.8573802479749633,GOOD,Hallucination
977,Legal,intellectual property,copyright benchmark,"According to the provided context, what is the key point about copyright benchmark?",The context indicates that copyright benchmark is linked to recommended action number 14. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the intellectual property use case.,"The key point is that copyright benchmark is linked to recommended action number 14, and the passage also mentions a risk factor.","The key point is that copyright benchmark is linked to recommended action number 14, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",FAQ excerpt,"[{'claim': 'The key point is that copyright benchmark is linked to recommended action number 14, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.6445982456207275, 'entailment': 0.30225303769111633, 'contradiction': 0.05314866825938225}}]",UNSUPPORTED,0.8253473685521409,GOOD,Hallucination
978,History,movement,civil rights,Which detail is supported by the context for civil rights?,The passage states that civil rights is linked to recommended action number 12. A required step is also mentioned in the same passage. The document keeps the explanation focused on the movement use case.,"The key point is that civil rights is linked to recommended action number 12, and the passage also mentions a required step.",The answer concerns an unrelated topic and says that civil rights is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,support ticket,"[{'claim': 'The answer concerns an unrelated topic and says that civil rights is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.997983455657959, 'neutral': 0.001782773993909359, 'entailment': 0.00023373847943730652}}]",CONTRADICTED,0.33759276352848966,BAD,Retrieval Failure
979,Legal,privacy,data retention,"According to the provided context, what is the key point about data retention?",The passage states that data retention is linked to recommended action number 17. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the privacy use case.,"The key point is that data retention is linked to recommended action number 17, and the passage also mentions a weekly review.","The key point is that data retention is not linked to recommended action number 17; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,support ticket,"[{'claim': 'The key point is that data retention is not linked to recommended action number 17; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9987284541130066, 'neutral': 0.0008193590911105275, 'entailment': 0.0004522070521488786}}]",CONTRADICTED,0.5694379078243383,BAD,Retrieval Failure
980,Travel,planning,itinerary,Summarize the main fact about itinerary from the passage.,The evidence shows that itinerary is linked to causal factor number 8. A time window is also mentioned in the same passage. The document keeps the explanation focused on the planning use case.,"The key point is that itinerary is linked to causal factor number 8, and the passage also mentions a time window.",The key point is that itinerary is linked to causal factor number 8.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,knowledge base article,"[{'claim': 'The key point is that itinerary is linked to causal factor number 8.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.719089686870575, 'entailment': 0.2502640187740326, 'contradiction': 0.030646270141005516}}]",UNSUPPORTED,0.6779103441822341,BAD,Retrieval Failure
981,Science,chemistry,reaction rate guidance,What is the correct answer regarding reaction rate guidance?,The source says that reaction rate guidance is linked to comparison number 4. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the chemistry use case.,"The key point is that reaction rate guidance is linked to comparison number 4, and the passage also mentions a risk factor.",The key point is that reaction rate guidance is linked to comparison number 4.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,FAQ excerpt,"[{'claim': 'The key point is that reaction rate guidance is linked to comparison number 4.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8524340987205505, 'entailment': 0.07955726981163025, 'contradiction': 0.06800861656665802}}]",UNSUPPORTED,0.8161819720618524,GOOD,Hallucination
982,Finance,risk,emergency fund,Summarize the main fact about emergency fund from the passage.,The document explains that emergency fund is linked to comparison number 7. A priority order is also mentioned in the same passage. The document keeps the explanation focused on the risk use case.,"The key point is that emergency fund is linked to comparison number 7, and the passage also mentions a priority order.","The key point is that emergency fund is linked to comparison number 7, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",knowledge base article,"[{'claim': 'The key point is that emergency fund is linked to comparison number 7, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.6161282062530518, 'contradiction': 0.28463828563690186, 'entailment': 0.09923353046178818}}]",UNSUPPORTED,0.7449601313977603,GOOD,Hallucination
983,Sports,match analysis,possession,What is the correct answer regarding possession?,The document explains that possession is linked to deadline number 14. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the match analysis use case.,"The key point is that possession is linked to deadline number 14, and the passage also mentions a best practice.",The key point is that possession is linked to deadline number 14.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,policy memo,"[{'claim': 'The key point is that possession is linked to deadline number 14.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.7086886167526245, 'entailment': 0.18531577289104462, 'contradiction': 0.10599569231271744}}]",UNSUPPORTED,0.3403685456201437,BAD,Retrieval Failure
984,Business,sales,conversion rate overview,"According to the provided context, what is the key point about conversion rate overview?",The context indicates that conversion rate overview is linked to guideline number 3. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the sales use case.,"The key point is that conversion rate overview is linked to guideline number 3, and the passage also mentions a risk factor.","The key point is that conversion rate overview is linked to guideline number 3, and the passage also mentions a risk factor.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,training note,"[{'claim': 'The key point is that conversion rate overview is linked to guideline number 3, and the passage also mentions a risk factor.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.9412903189659119, 'neutral': 0.05817863717675209, 'contradiction': 0.0005310495034791529}}]",SUPPORTED,0.8615526875271917,GOOD,No Failure
985,Environment,water,contamination workflow,"According to the provided context, what is the key point about contamination workflow?",The source says that contamination workflow is linked to comparison number 17. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the water use case.,"The key point is that contamination workflow is linked to comparison number 17, and the passage also mentions a estimated cost.","The key point is that contamination workflow is linked to comparison number 17, and the passage also mentions a estimated cost.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,support ticket,"[{'claim': 'The key point is that contamination workflow is linked to comparison number 17, and the passage also mentions a estimated cost.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.6407403349876404, 'neutral': 0.3576948642730713, 'contradiction': 0.001564773148857057}}]",SUPPORTED,0.7955687228537479,GOOD,No Failure
986,Travel,planning,itinerary,Which detail is supported by the context for itinerary?,The source says that itinerary is linked to threshold number 4. A required step is also mentioned in the same passage. The document keeps the explanation focused on the planning use case.,"The key point is that itinerary is linked to threshold number 4, and the passage also mentions a required step.",The key point is that itinerary is linked to threshold number 4.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,policy memo,"[{'claim': 'The key point is that itinerary is linked to threshold number 4.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8385613560676575, 'entailment': 0.11131082475185394, 'contradiction': 0.05012780427932739}}]",UNSUPPORTED,0.3910717652673611,BAD,Retrieval Failure
987,Healthcare,lab results,anemia policy,Summarize the main fact about anemia policy from the passage.,The context indicates that anemia policy is linked to recommended action number 11. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the lab results use case.,"The key point is that anemia policy is linked to recommended action number 11, and the passage also mentions a estimated cost.","The key point is that anemia policy is not linked to recommended action number 11; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,training note,"[{'claim': 'The key point is that anemia policy is not linked to recommended action number 11; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9989429116249084, 'neutral': 0.000632984156254679, 'entailment': 0.0004242213908582926}}]",CONTRADICTED,0.8038707000369176,GOOD,Hallucination
988,Travel,budget travel,daily spending,What does the document say about daily spending?,The document explains that daily spending is linked to recommended action number 12. A required step is also mentioned in the same passage. The document keeps the explanation focused on the budget travel use case.,"The key point is that daily spending is linked to recommended action number 12, and the passage also mentions a required step.","The key point is that daily spending is linked to recommended action number 12, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,policy memo,"[{'claim': 'The key point is that daily spending is linked to recommended action number 12, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9881369471549988, 'contradiction': 0.011518130078911781, 'entailment': 0.00034494855208322406}}]",UNSUPPORTED,0.8329874678824871,GOOD,Hallucination
989,Technology,machine learning,overfitting benchmark,What does the document say about overfitting benchmark?,The source says that overfitting benchmark is linked to decrease number 14. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the machine learning use case.,"The key point is that overfitting benchmark is linked to decrease number 14, and the passage also mentions a best practice.","The key point is that overfitting benchmark is not linked to decrease number 14; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,support ticket,"[{'claim': 'The key point is that overfitting benchmark is not linked to decrease number 14; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9963653087615967, 'neutral': 0.0025334893725812435, 'entailment': 0.0011011232854798436}}]",CONTRADICTED,0.8829148418060337,GOOD,Hallucination
990,Education,study plan,final revision benchmark,Summarize the main fact about final revision benchmark from the passage.,The evidence shows that final revision benchmark is linked to causal factor number 14. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the study plan use case.,"The key point is that final revision benchmark is linked to causal factor number 14, and the passage also mentions a estimated cost.",The answer concerns an unrelated topic and says that final revision benchmark is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,policy memo,"[{'claim': 'The answer concerns an unrelated topic and says that final revision benchmark is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9992075562477112, 'neutral': 0.0006351336487568915, 'entailment': 0.0001573919435031712}}]",CONTRADICTED,0.8417521095327182,GOOD,Hallucination
991,Legal,contract clause,termination policy,Summarize the main fact about termination policy from the passage.,The evidence shows that termination policy is linked to warning sign number 9. A exception clause is also mentioned in the same passage. The document keeps the explanation focused on the contract clause use case.,"The key point is that termination policy is linked to warning sign number 9, and the passage also mentions a exception clause.","The key point is that termination policy is linked to warning sign number 9, and the passage also mentions a exception clause.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,support ticket,"[{'claim': 'The key point is that termination policy is linked to warning sign number 9, and the passage also mentions a exception clause.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.7954752445220947, 'neutral': 0.19675180315971375, 'contradiction': 0.0077729374170303345}}]",SUPPORTED,0.79681095452768,GOOD,No Failure
992,Science,chemistry,reaction rate,What does the document say about reaction rate?,The source says that reaction rate is linked to deadline number 10. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the chemistry use case.,"The key point is that reaction rate is linked to deadline number 10, and the passage also mentions a best practice.","The key point is that reaction rate is linked to deadline number 10, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",training note,"[{'claim': 'The key point is that reaction rate is linked to deadline number 10, but the supporting reference points to another passage.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.5338521599769592, 'neutral': 0.4305005967617035, 'contradiction': 0.03564723581075668}}]",SUPPORTED,0.8442323143761636,GOOD,No Failure
993,Science,environmental science,water quality overview,"According to the provided context, what is the key point about water quality overview?",The context indicates that water quality overview is linked to recommended action number 14. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the environmental science use case.,"The key point is that water quality overview is linked to recommended action number 14, and the passage also mentions a estimated cost.","The key point is that water quality overview is linked to recommended action number 14, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",knowledge base article,"[{'claim': 'The key point is that water quality overview is linked to recommended action number 14, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.6191626191139221, 'entailment': 0.3560730814933777, 'contradiction': 0.024764271453022957}}]",UNSUPPORTED,0.8135583803446935,GOOD,Hallucination
994,Legal,contract clause,termination,Which detail is supported by the context for termination?,The passage states that termination is linked to recommended action number 5. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the contract clause use case.,"The key point is that termination is linked to recommended action number 5, and the passage also mentions a weekly review.","The key point is that termination is linked to recommended action number 5, and the passage also mentions a weekly review.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,support ticket,"[{'claim': 'The key point is that termination is linked to recommended action number 5, and the passage also mentions a weekly review.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.8140798211097717, 'neutral': 0.1840343028306961, 'contradiction': 0.001885912730358541}}]",SUPPORTED,0.3207028833935961,BAD,Retrieval Failure
995,Education,course selection,statistics,Summarize the main fact about statistics from the passage.,The source says that statistics is linked to comparison number 2. A follow-up action is also mentioned in the same passage. The document keeps the explanation focused on the course selection use case.,"The key point is that statistics is linked to comparison number 2, and the passage also mentions a follow-up action.","The key point is that statistics is linked to comparison number 2, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,knowledge base article,"[{'claim': 'The key point is that statistics is linked to comparison number 2, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.716618537902832, 'contradiction': 0.28255507349967957, 'entailment': 0.0008264089119620621}}]",UNSUPPORTED,0.4418755800649694,BAD,Retrieval Failure
996,Science,biology,photosynthesis,What does the document say about photosynthesis?,The document explains that photosynthesis is linked to recommended action number 11. A time window is also mentioned in the same passage. The document keeps the explanation focused on the biology use case.,"The key point is that photosynthesis is linked to recommended action number 11, and the passage also mentions a time window.","The key point is that photosynthesis is not linked to recommended action number 11; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,FAQ excerpt,"[{'claim': 'The key point is that photosynthesis is not linked to recommended action number 11; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9994865655899048, 'neutral': 0.0003091931575909257, 'entailment': 0.00020424534159246832}}]",CONTRADICTED,0.8547171991549876,GOOD,Hallucination
997,Finance,banking,loan repayment overview,What is the correct answer regarding loan repayment overview?,The source says that loan repayment overview is linked to comparison number 15. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the banking use case.,"The key point is that loan repayment overview is linked to comparison number 15, and the passage also mentions a estimated cost.","The key point is that loan repayment overview is linked to comparison number 15, and the passage also mentions a estimated cost.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,FAQ excerpt,"[{'claim': 'The key point is that loan repayment overview is linked to comparison number 15, and the passage also mentions a estimated cost.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.5965979695320129, 'neutral': 0.40083789825439453, 'contradiction': 0.0025641683023422956}}]",SUPPORTED,0.8189020978510989,GOOD,No Failure
998,Sports,training,recovery,"According to the provided context, what is the key point about recovery?",The context indicates that recovery is linked to decrease number 11. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the training use case.,"The key point is that recovery is linked to decrease number 11, and the passage also mentions a risk factor.","The key point is that recovery is linked to decrease number 11, and the passage also mentions a risk factor.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,support ticket,"[{'claim': 'The key point is that recovery is linked to decrease number 11, and the passage also mentions a risk factor.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.9236844182014465, 'neutral': 0.0750044509768486, 'contradiction': 0.001311191008426249}}]",SUPPORTED,0.7768805666295613,GOOD,No Failure
999,Sports,tactics,pressing guidance,"According to the provided context, what is the key point about pressing guidance?",The passage states that pressing guidance is linked to warning sign number 10. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the tactics use case.,"The key point is that pressing guidance is linked to warning sign number 10, and the passage also mentions a weekly review.",The key point is that pressing guidance is linked to warning sign number 10.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,policy memo,"[{'claim': 'The key point is that pressing guidance is linked to warning sign number 10.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.816300630569458, 'entailment': 0.16835594177246094, 'contradiction': 0.015343451872467995}}]",UNSUPPORTED,0.7889725983730649,GOOD,Hallucination
1000,Travel,transport,rail schedules,What is the correct answer regarding rail schedules?,The passage states that rail schedules is linked to guideline number 3. A verification step is also mentioned in the same passage. The document keeps the explanation focused on the transport use case.,"The key point is that rail schedules is linked to guideline number 3, and the passage also mentions a verification step.","Since rail schedules mentions a verification step, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,training note,"[{'claim': 'Since rail schedules mentions a verification step, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9417797327041626, 'contradiction': 0.04527165740728378, 'entailment': 0.012948655523359776}}]",UNSUPPORTED,0.8112711329425802,GOOD,Hallucination
1001,Legal,compliance,record keeping,Which detail is supported by the context for record keeping?,The document explains that record keeping is linked to deadline number 2. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the compliance use case.,"The key point is that record keeping is linked to deadline number 2, and the passage also mentions a best practice.",The answer concerns an unrelated topic and says that record keeping is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,policy memo,"[{'claim': 'The answer concerns an unrelated topic and says that record keeping is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9994240999221802, 'neutral': 0.00044870850979350507, 'entailment': 0.00012724057887680829}}]",CONTRADICTED,0.48906826377365054,BAD,Retrieval Failure
1002,Science,biology,photosynthesis workflow,Which detail is supported by the context for photosynthesis workflow?,The evidence shows that photosynthesis workflow is linked to recommended action number 4. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the biology use case.,"The key point is that photosynthesis workflow is linked to recommended action number 4, and the passage also mentions a weekly review.","Since photosynthesis workflow mentions a weekly review, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,policy memo,"[{'claim': 'Since photosynthesis workflow mentions a weekly review, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.651509702205658, 'contradiction': 0.3343724012374878, 'entailment': 0.014118010178208351}}]",UNSUPPORTED,0.7408332883042055,GOOD,Hallucination
1003,History,event,industrial revolution overview,Which detail is supported by the context for industrial revolution overview?,The evidence shows that industrial revolution overview is linked to deadline number 1. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the event use case.,"The key point is that industrial revolution overview is linked to deadline number 1, and the passage also mentions a estimated cost.","The key point is that industrial revolution overview is linked to deadline number 1, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,FAQ excerpt,"[{'claim': 'The key point is that industrial revolution overview is linked to deadline number 1, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9839503765106201, 'contradiction': 0.015627171844244003, 'entailment': 0.0004224423610139638}}]",UNSUPPORTED,0.8161281693176474,GOOD,Hallucination
1004,Sports,statistics,win rate,Summarize the main fact about win rate from the passage.,The document explains that win rate is linked to procedure number 11. A time window is also mentioned in the same passage. The document keeps the explanation focused on the statistics use case.,"The key point is that win rate is linked to procedure number 11, and the passage also mentions a time window.",The answer concerns an unrelated topic and says that win rate is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,knowledge base article,"[{'claim': 'The answer concerns an unrelated topic and says that win rate is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9994739890098572, 'neutral': 0.0004154470225330442, 'entailment': 0.00011050913599319756}}]",CONTRADICTED,0.7399465509410961,GOOD,Hallucination
1005,Healthcare,prevention,influenza guidance,"According to the provided context, what is the key point about influenza guidance?",The evidence shows that influenza guidance is linked to causal factor number 11. A exception clause is also mentioned in the same passage. The document keeps the explanation focused on the prevention use case.,"The key point is that influenza guidance is linked to causal factor number 11, and the passage also mentions a exception clause.","The key point is that influenza guidance is linked to causal factor number 11, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,support ticket,"[{'claim': 'The key point is that influenza guidance is linked to causal factor number 11, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9893968105316162, 'contradiction': 0.009993954561650753, 'entailment': 0.0006091785617172718}}]",UNSUPPORTED,0.7928029351710975,GOOD,Hallucination
1006,Sports,team strategy,set pieces overview,"According to the provided context, what is the key point about set pieces overview?",The context indicates that set pieces overview is linked to comparison number 5. A follow-up action is also mentioned in the same passage. The document keeps the explanation focused on the team strategy use case.,"The key point is that set pieces overview is linked to comparison number 5, and the passage also mentions a follow-up action.","The key point is that set pieces overview is linked to comparison number 5, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,training note,"[{'claim': 'The key point is that set pieces overview is linked to comparison number 5, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8887948989868164, 'contradiction': 0.11043984442949295, 'entailment': 0.0007653386564925313}}]",UNSUPPORTED,0.8420087737168678,GOOD,Hallucination
1007,History,event,industrial revolution,"According to the provided context, what is the key point about industrial revolution?",The evidence shows that industrial revolution is linked to decrease number 8. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the event use case.,"The key point is that industrial revolution is linked to decrease number 8, and the passage also mentions a weekly review.","The key point is that industrial revolution is linked to decrease number 8, and the passage also mentions a weekly review.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,knowledge base article,"[{'claim': 'The key point is that industrial revolution is linked to decrease number 8, and the passage also mentions a weekly review.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.7892685532569885, 'neutral': 0.1947866529226303, 'contradiction': 0.015944795683026314}}]",SUPPORTED,0.3514645199208202,BAD,Retrieval Failure
1008,Legal,contract clause,termination,"According to the provided context, what is the key point about termination?",The context indicates that termination is linked to decrease number 10. A required step is also mentioned in the same passage. The document keeps the explanation focused on the contract clause use case.,"The key point is that termination is linked to decrease number 10, and the passage also mentions a required step.","Since termination mentions a required step, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,policy memo,"[{'claim': 'Since termination mentions a required step, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9358184337615967, 'contradiction': 0.04214136675000191, 'entailment': 0.02204025909304619}}]",UNSUPPORTED,0.8055490318818022,GOOD,Hallucination
1009,Environment,air quality,particulate matter policy,What is the correct answer regarding particulate matter policy?,The document explains that particulate matter policy is linked to causal factor number 8. A exception clause is also mentioned in the same passage. The document keeps the explanation focused on the air quality use case.,"The key point is that particulate matter policy is linked to causal factor number 8, and the passage also mentions a exception clause.","Since particulate matter policy mentions a exception clause, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,support ticket,"[{'claim': 'Since particulate matter policy mentions a exception clause, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9400147795677185, 'contradiction': 0.05517600476741791, 'entailment': 0.004809195175766945}}]",UNSUPPORTED,0.8057327294256732,GOOD,Hallucination
1010,Education,course selection,statistics overview,What is the correct answer regarding statistics overview?,The context indicates that statistics overview is linked to causal factor number 11. A follow-up action is also mentioned in the same passage. The document keeps the explanation focused on the course selection use case.,"The key point is that statistics overview is linked to causal factor number 11, and the passage also mentions a follow-up action.","The key point is that statistics overview is linked to causal factor number 11, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",knowledge base article,"[{'claim': 'The key point is that statistics overview is linked to causal factor number 11, but the supporting reference points to another passage.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.5974387526512146, 'neutral': 0.3925591707229614, 'contradiction': 0.010002096183598042}}]",SUPPORTED,0.7069944531542112,GOOD,No Failure
1011,Travel,transport,rail schedules,Summarize the main fact about rail schedules from the passage.,The document explains that rail schedules is linked to causal factor number 17. A required step is also mentioned in the same passage. The document keeps the explanation focused on the transport use case.,"The key point is that rail schedules is linked to causal factor number 17, and the passage also mentions a required step.",The answer concerns an unrelated topic and says that rail schedules is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,FAQ excerpt,"[{'claim': 'The answer concerns an unrelated topic and says that rail schedules is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9995056390762329, 'neutral': 0.00039597658906131983, 'entailment': 9.843231964623556e-05}}]",CONTRADICTED,0.844877229049495,GOOD,Hallucination
1012,Healthcare,prevention,influenza overview,Summarize the main fact about influenza overview from the passage.,The document explains that influenza overview is linked to warning sign number 15. A required step is also mentioned in the same passage. The document keeps the explanation focused on the prevention use case.,"The key point is that influenza overview is linked to warning sign number 15, and the passage also mentions a required step.","The key point is that influenza overview is not linked to warning sign number 15; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,policy memo,"[{'claim': 'The key point is that influenza overview is not linked to warning sign number 15; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9991375207901001, 'neutral': 0.0005510231130756438, 'entailment': 0.0003114077844657004}}]",CONTRADICTED,0.826414238458516,GOOD,Hallucination
1013,Education,assignment,research methods,What does the document say about research methods?,The document explains that research methods is linked to comparison number 10. A required step is also mentioned in the same passage. The document keeps the explanation focused on the assignment use case.,"The key point is that research methods is linked to comparison number 10, and the passage also mentions a required step.","The key point is that research methods is linked to comparison number 10, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",support ticket,"[{'claim': 'The key point is that research methods is linked to comparison number 10, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.6995311975479126, 'contradiction': 0.20717595517635345, 'entailment': 0.09329283237457275}}]",UNSUPPORTED,0.8542929622725828,GOOD,Hallucination
1014,Sports,training,recovery,What is the correct answer regarding recovery?,The context indicates that recovery is linked to recommended action number 12. A priority order is also mentioned in the same passage. The document keeps the explanation focused on the training use case.,"The key point is that recovery is linked to recommended action number 12, and the passage also mentions a priority order.","The key point is that recovery is linked to recommended action number 12, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",policy memo,"[{'claim': 'The key point is that recovery is linked to recommended action number 12, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.7616463303565979, 'entailment': 0.20574568212032318, 'contradiction': 0.03260793909430504}}]",UNSUPPORTED,0.3330210505955018,BAD,Retrieval Failure
